accent3.1,127,201,127
accent3.2,190,174,212
accent3.3,253,192,134
accent4.1,127,201,127
accent4.2,190,174,212
accent4.3,253,192,134
accent4.4,255,255,153
accent5.1,127,201,127
accent5.2,190,174,212
accent5.3,253,192,134
accent5.4,255,255,153
accent5.5,56,108,176
accent6.1,127,201,127
accent6.2,190,174,212
accent6.3,253,192,134
accent6.4,255,255,153
accent6.5,56,108,176
accent6.6,240,2,127
accent7.1,127,201,127
accent7.2,190,174,212
accent7.3,253,192,134
accent7.4,255,255,153
accent7.5,56,108,176
accent7.6,240,2,127
accent7.7,191,91,23
accent8.1,127,201,127
accent8.2,190,174,212
accent8.3,253,192,134
accent8.4,255,255,153
accent8.5,56,108,176
accent8.6,240,2,127
accent8.7,191,91,23
accent8.8,102,102,102
blues3.1,222,235,247
blues3.2,158,202,225
blues3.3,49,130,189
blues4.1,239,243,255
blues4.2,189,215,231
blues4.3,107,174,214
blues4.4,33,113,181
blues5.1,239,243,255
blues5.2,189,215,231
blues5.3,107,174,214
blues5.4,49,130,189
blues5.5,8,81,156
blues6.1,239,243,255
blues6.2,198,219,239
blues6.3,158,202,225
blues6.4,107,174,214
blues6.5,49,130,189
blues6.6,8,81,156
blues7.1,239,243,255
blues7.2,198,219,239
blues7.3,158,202,225
blues7.4,107,174,214
blues7.5,66,146,198
blues7.6,33,113,181
blues7.7,8,69,148
blues8.1,247,251,255
blues8.2,222,235,247
blues8.3,198,219,239
blues8.4,158,202,225
blues8.5,107,174,214
blues8.6,66,146,198
blues8.7,33,113,181
blues8.8,8,69,148
blues9.1,247,251,255
blues9.2,222,235,247
blues9.3,198,219,239
blues9.4,158,202,225
blues9.5,107,174,214
blues9.6,66,146,198
blues9.7,33,113,181
blues9.8,8,81,156
blues9.9,8,48,107
brbg10.1,84,48,5
brbg10.2,140,81,10
brbg10.3,191,129,45
brbg10.4,223,194,125
brbg10.5,246,232,195
brbg10.6,199,234,229
brbg10.7,128,205,193
brbg10.8,53,151,143
brbg10.9,1,102,94
brbg10.10,0,60,48
brbg11.1,84,48,5
brbg11.2,140,81,10
brbg11.3,191,129,45
brbg11.4,223,194,125
brbg11.5,246,232,195
brbg11.6,245,245,245
brbg11.7,199,234,229
brbg11.8,128,205,193
brbg11.9,53,151,143
brbg11.10,1,102,94
brbg11.11,0,60,48
brbg3.1,216,179,101
brbg3.2,245,245,245
brbg3.3,90,180,172
brbg4.1,166,97,26
brbg4.2,223,194,125
brbg4.3,128,205,193
brbg4.4,1,133,113
brbg5.1,166,97,26
brbg5.2,223,194,125
brbg5.3,245,245,245
brbg5.4,128,205,193
brbg5.5,1,133,113
brbg6.1,140,81,10
brbg6.2,216,179,101
brbg6.3,246,232,195
brbg6.4,199,234,229
brbg6.5,90,180,172
brbg6.6,1,102,94
brbg7.1,140,81,10
brbg7.2,216,179,101
brbg7.3,246,232,195
brbg7.4,245,245,245
brbg7.5,199,234,229
brbg7.6,90,180,172
brbg7.7,1,102,94
brbg8.1,140,81,10
brbg8.2,191,129,45
brbg8.3,223,194,125
brbg8.4,246,232,195
brbg8.5,199,234,229
brbg8.6,128,205,193
brbg8.7,53,151,143
brbg8.8,1,102,94
brbg9.1,140,81,10
brbg9.2,191,129,45
brbg9.3,223,194,125
brbg9.4,246,232,195
brbg9.5,245,245,245
brbg9.6,199,234,229
brbg9.7,128,205,193
brbg9.8,53,151,143
brbg9.9,1,102,94
bugn3.1,229,245,249
bugn3.2,153,216,201
bugn3.3,44,162,95
bugn4.1,237,248,251
bugn4.2,178,226,226
bugn4.3,102,194,164
bugn4.4,35,139,69
bugn5.1,237,248,251
bugn5.2,178,226,226
bugn5.3,102,194,164
bugn5.4,44,162,95
bugn5.5,0,109,44
bugn6.1,237,248,251
bugn6.2,204,236,230
bugn6.3,153,216,201
bugn6.4,102,194,164
bugn6.5,44,162,95
bugn6.6,0,109,44
bugn7.1,237,248,251
bugn7.2,204,236,230
bugn7.3,153,216,201
bugn7.4,102,194,164
bugn7.5,65,174,118
bugn7.6,35,139,69
bugn7.7,0,88,36
bugn8.1,247,252,253
bugn8.2,229,245,249
bugn8.3,204,236,230
bugn8.4,153,216,201
bugn8.5,102,194,164
bugn8.6,65,174,118
bugn8.7,35,139,69
bugn8.8,0,88,36
bugn9.1,247,252,253
bugn9.2,229,245,249
bugn9.3,204,236,230
bugn9.4,153,216,201
bugn9.5,102,194,164
bugn9.6,65,174,118
bugn9.7,35,139,69
bugn9.8,0,109,44
bugn9.9,0,68,27
bupu3.1,224,236,244
bupu3.2,158,188,218
bupu3.3,136,86,167
bupu4.1,237,248,251
bupu4.2,179,205,227
bupu4.3,140,150,198
bupu4.4,136,65,157
bupu5.1,237,248,251
bupu5.2,179,205,227
bupu5.3,140,150,198
bupu5.4,136,86,167
bupu5.5,129,15,124
bupu6.1,237,248,251
bupu6.2,191,211,230
bupu6.3,158,188,218
bupu6.4,140,150,198
bupu6.5,136,86,167
bupu6.6,129,15,124
bupu7.1,237,248,251
bupu7.2,191,211,230
bupu7.3,158,188,218
bupu7.4,140,150,198
bupu7.5,140,107,177
bupu7.6,136,65,157
bupu7.7,110,1,107
bupu8.1,247,252,253
bupu8.2,224,236,244
bupu8.3,191,211,230
bupu8.4,158,188,218
bupu8.5,140,150,198
bupu8.6,140,107,177
bupu8.7,136,65,157
bupu8.8,110,1,107
bupu9.1,247,252,253
bupu9.2,224,236,244
bupu9.3,191,211,230
bupu9.4,158,188,218
bupu9.5,140,150,198
bupu9.6,140,107,177
bupu9.7,136,65,157
bupu9.8,129,15,124
bupu9.9,77,0,75
dark23.1,27,158,119
dark23.2,217,95,2
dark23.3,117,112,179
dark24.1,27,158,119
dark24.2,217,95,2
dark24.3,117,112,179
dark24.4,231,41,138
dark25.1,27,158,119
dark25.2,217,95,2
dark25.3,117,112,179
dark25.4,231,41,138
dark25.5,102,166,30
dark26.1,27,158,119
dark26.2,217,95,2
dark26.3,117,112,179
dark26.4,231,41,138
dark26.5,102,166,30
dark26.6,230,171,2
dark27.1,27,158,119
dark27.2,217,95,2
dark27.3,117,112,179
dark27.4,231,41,138
dark27.5,102,166,30
dark27.6,230,171,2
dark27.7,166,118,29
dark28.1,27,158,119
dark28.2,217,95,2
dark28.3,117,112,179
dark28.4,231,41,138
dark28.5,102,166,30
dark28.6,230,171,2
dark28.7,166,118,29
dark28.8,102,102,102
gnbu3.1,224,243,219
gnbu3.2,168,221,181
gnbu3.3,67,162,202
gnbu4.1,240,249,232
gnbu4.2,186,228,188
gnbu4.3,123,204,196
gnbu4.4,43,140,190
gnbu5.1,240,249,232
gnbu5.2,186,228,188
gnbu5.3,123,204,196
gnbu5.4,67,162,202
gnbu5.5,8,104,172
gnbu6.1,240,249,232
gnbu6.2,204,235,197
gnbu6.3,168,221,181
gnbu6.4,123,204,196
gnbu6.5,67,162,202
gnbu6.6,8,104,172
gnbu7.1,240,249,232
gnbu7.2,204,235,197
gnbu7.3,168,221,181
gnbu7.4,123,204,196
gnbu7.5,78,179,211
gnbu7.6,43,140,190
gnbu7.7,8,88,158
gnbu8.1,247,252,240
gnbu8.2,224,243,219
gnbu8.3,204,235,197
gnbu8.4,168,221,181
gnbu8.5,123,204,196
gnbu8.6,78,179,211
gnbu8.7,43,140,190
gnbu8.8,8,88,158
gnbu9.1,247,252,240
gnbu9.2,224,243,219
gnbu9.3,204,235,197
gnbu9.4,168,221,181
gnbu9.5,123,204,196
gnbu9.6,78,179,211
gnbu9.7,43,140,190
gnbu9.8,8,104,172
gnbu9.9,8,64,129
greens3.1,229,245,224
greens3.2,161,217,155
greens3.3,49,163,84
greens4.1,237,248,233
greens4.2,186,228,179
greens4.3,116,196,118
greens4.4,35,139,69
greens5.1,237,248,233
greens5.2,186,228,179
greens5.3,116,196,118
greens5.4,49,163,84
greens5.5,0,109,44
greens6.1,237,248,233
greens6.2,199,233,192
greens6.3,161,217,155
greens6.4,116,196,118
greens6.5,49,163,84
greens6.6,0,109,44
greens7.1,237,248,233
greens7.2,199,233,192
greens7.3,161,217,155
greens7.4,116,196,118
greens7.5,65,171,93
greens7.6,35,139,69
greens7.7,0,90,50
greens8.1,247,252,245
greens8.2,229,245,224
greens8.3,199,233,192
greens8.4,161,217,155
greens8.5,116,196,118
greens8.6,65,171,93
greens8.7,35,139,69
greens8.8,0,90,50
greens9.1,247,252,245
greens9.2,229,245,224
greens9.3,199,233,192
greens9.4,161,217,155
greens9.5,116,196,118
greens9.6,65,171,93
greens9.7,35,139,69
greens9.8,0,109,44
greens9.9,0,68,27
greys3.1,240,240,240
greys3.2,189,189,189
greys3.3,99,99,99
greys4.1,247,247,247
greys4.2,204,204,204
greys4.3,150,150,150
greys4.4,82,82,82
greys5.1,247,247,247
greys5.2,204,204,204
greys5.3,150,150,150
greys5.4,99,99,99
greys5.5,37,37,37
greys6.1,247,247,247
greys6.2,217,217,217
greys6.3,189,189,189
greys6.4,150,150,150
greys6.5,99,99,99
greys6.6,37,37,37
greys7.1,247,247,247
greys7.2,217,217,217
greys7.3,189,189,189
greys7.4,150,150,150
greys7.5,115,115,115
greys7.6,82,82,82
greys7.7,37,37,37
greys8.1,255,255,255
greys8.2,240,240,240
greys8.3,217,217,217
greys8.4,189,189,189
greys8.5,150,150,150
greys8.6,115,115,115
greys8.7,82,82,82
greys8.8,37,37,37
greys9.1,255,255,255
greys9.2,240,240,240
greys9.3,217,217,217
greys9.4,189,189,189
greys9.5,150,150,150
greys9.6,115,115,115
greys9.7,82,82,82
greys9.8,37,37,37
greys9.9,0,0,0
oranges3.1,254,230,206
oranges3.2,253,174,107
oranges3.3,230,85,13
oranges4.1,254,237,222
oranges4.2,253,190,133
oranges4.3,253,141,60
oranges4.4,217,71,1
oranges5.1,254,237,222
oranges5.2,253,190,133
oranges5.3,253,141,60
oranges5.4,230,85,13
oranges5.5,166,54,3
oranges6.1,254,237,222
oranges6.2,253,208,162
oranges6.3,253,174,107
oranges6.4,253,141,60
oranges6.5,230,85,13
oranges6.6,166,54,3
oranges7.1,254,237,222
oranges7.2,253,208,162
oranges7.3,253,174,107
oranges7.4,253,141,60
oranges7.5,241,105,19
oranges7.6,217,72,1
oranges7.7,140,45,4
oranges8.1,255,245,235
oranges8.2,254,230,206
oranges8.3,253,208,162
oranges8.4,253,174,107
oranges8.5,253,141,60
oranges8.6,241,105,19
oranges8.7,217,72,1
oranges8.8,140,45,4
oranges9.1,255,245,235
oranges9.2,254,230,206
oranges9.3,253,208,162
oranges9.4,253,174,107
oranges9.5,253,141,60
oranges9.6,241,105,19
oranges9.7,217,72,1
oranges9.8,166,54,3
oranges9.9,127,39,4
orrd3.1,254,232,200
orrd3.2,253,187,132
orrd3.3,227,74,51
orrd4.1,254,240,217
orrd4.2,253,204,138
orrd4.3,252,141,89
orrd4.4,215,48,31
orrd5.1,254,240,217
orrd5.2,253,204,138
orrd5.3,252,141,89
orrd5.4,227,74,51
orrd5.5,179,0,0
orrd6.1,254,240,217
orrd6.2,253,212,158
orrd6.3,253,187,132
orrd6.4,252,141,89
orrd6.5,227,74,51
orrd6.6,179,0,0
orrd7.1,254,240,217
orrd7.2,253,212,158
orrd7.3,253,187,132
orrd7.4,252,141,89
orrd7.5,239,101,72
